person_id,waiting_time_seconds,vehicle_id,arrival,not_started,started_but_not_finished
p1,82.00,t11,280.00,False,False
p16,62.00,t7,297.00,False,False
p5,51.00,t8,304.00,False,False
p13,70.00,t17,339.00,False,False
p2,119.00,t20,359.00,False,False
p12,140.00,t4,388.00,False,False
p15,128.00,t4,389.00,False,False
p27,96.00,t19,408.00,False,False
p9,132.00,t28,418.00,False,False
p17,196.00,t28,419.00,False,False
p3,113.00,t13,438.00,False,False
p6,78.00,t13,439.00,False,False
p26,58.00,t27,475.00,False,False
p7,36.00,t25,500.00,False,False
p29,134.00,t29,512.00,False,False
p23,210.00,t26,556.00,False,False
p40,216.00,t7,563.00,False,False
p44,189.00,t7,564.00,False,False
p10,85.00,t30,573.00,False,False
p19,208.00,t30,574.00,False,False
p14,206.00,t14,582.00,False,False
p30,227.00,t15,588.00,False,False
p11,129.00,t10,594.00,False,False
p18,227.00,t10,595.00,False,False
p24,118.00,t5,600.00,False,False
p34,275.00,t5,601.00,False,False
p25,222.00,t3,609.00,False,False
p45,226.00,t17,616.00,False,False
p32,230.00,t18,626.00,False,False
p28,102.00,t24,632.00,False,False
p21,79.00,t9,640.00,False,False
p22,354.00,t9,641.00,False,False
p20,195.00,t16,647.00,False,False
p39,223.00,t11,655.00,False,False
p52,145.00,t11,656.00,False,False
p4,159.00,t22,663.00,False,False
p8,240.00,t22,664.00,False,False
p42,283.00,t20,676.00,False,False
p31,192.00,t23,686.00,False,False
p47,282.00,t28,701.00,False,False
p60,202.00,t28,702.00,False,False
p51,304.00,t27,709.00,False,False
p76,155.00,t27,710.00,False,False
p37,194.00,t6,717.00,False,False
p36,341.00,t1,732.00,False,False
p33,339.00,t2,806.00,False,False
p50,337.00,t13,853.00,False,False
p68,251.00,t13,854.00,False,False
p74,318.00,t9,915.00,False,False
p58,417.00,t14,947.00,False,False
p93,175.00,t14,948.00,False,False
p77,392.00,t24,962.00,False,False
p61,454.00,t15,973.00,False,False
p71,391.00,t15,974.00,False,False
p86,331.00,t27,988.00,False,False
p57,515.00,t25,997.00,False,False
p62,492.00,t30,1007.00,False,False
p35,396.00,t21,1015.00,False,False
p41,519.00,t21,1016.00,False,False
p64,414.00,t10,1028.00,False,False
p83,394.00,t10,1029.00,False,False
p38,548.00,t12,1040.00,False,False
p89,372.00,t1,1047.00,False,False
p97,284.00,t1,1048.00,False,False
p79,437.00,t20,1055.00,False,False
p43,412.00,t8,1064.00,False,False
p54,621.00,t8,1065.00,False,False
p59,499.00,t7,1070.00,False,False
p69,435.00,t7,1071.00,False,False
p72,493.00,t18,1119.00,False,False
p87,442.00,t18,1120.00,False,False
p92,448.00,t13,1129.00,False,False
p94,442.00,t13,1130.00,False,False
p75,451.00,t16,1143.00,False,False
p63,592.00,t26,1180.00,False,False
p65,586.00,t26,1181.00,False,False
