order_id,completed_seconds,next_train_time,waiting_time,on_time
1,218,500,282,True
6,239,500,261,True
12,295,500,205,True
10,315,500,185,True
17,346,1400,1054,True
5,349,1400,1051,True
15,395,1400,1005,True
11,403,1400,997,True
24,407,1400,993,True
21,420,1400,980,True
20,426,1400,974,True
7,430,1400,970,True
9,439,1400,961,True
13,439,1400,961,True
14,442,1400,958,True
3,446,1400,954,True
4,446,1400,954,True
23,459,1400,941,True
27,482,1400,918,True
19,522,1400,878,True
30,528,1400,872,True
2,541,1400,859,True
8,541,1400,859,True
22,554,1400,846,True
26,571,1400,829,True
32,575,1400,825,True
28,579,1400,821,True
42,584,1400,816,True
29,588,1400,812,True
44,624,1400,776,True
31,629,1400,771,True
34,629,1400,771,True
36,632,1400,768,True
39,645,1400,755,True
40,645,1400,755,True
52,648,1400,752,True
48,651,1400,749,True
25,659,1400,741,True
51,668,1400,732,True
45,682,1400,718,True
16,694,1400,706,True
18,694,1400,706,True
35,717,1400,683,True
50,726,1400,674,True
53,741,1400,659,True
55,749,1400,651,True
62,763,1400,637,True
73,766,1400,634,True
54,772,1400,628,True
41,776,1400,624,True
63,798,1400,602,True
59,806,1400,594,True
65,822,1400,578,True
47,834,1400,566,True
75,838,1400,562,True
43,854,1400,546,True
76,858,1400,542,True
33,867,1400,533,True
57,877,1400,523,True
49,890,1400,510,True
46,890,1400,510,True
71,893,1400,507,True
37,906,1400,494,True
38,906,1400,494,True
58,918,1400,482,True
69,941,1400,459,True
97,947,1400,453,True
92,947,1400,453,True
60,966,1400,434,True
61,966,1400,434,True
68,969,1400,431,True
67,975,1400,425,True
70,1077,1400,323,True
83,1094,1400,306,True
95,1094,1400,306,True
78,1101,1400,299,True
72,1104,1400,296,True
80,1121,1400,279,True
91,1121,1400,279,True
66,1127,1400,273,True
99,1140,1400,260,True
77,1144,1400,256,True
79,1176,1400,224,True
89,1190,1400,210,True
88,1193,1400,207,True
64,1198,1400,202,True
100,1225,1400,175,True
96,1225,1400,175,True
84,1246,1400,154,True
86,1246,1400,154,True
85,1277,1400,123,True
87,1308,1400,92,True
90,1311,1400,89,True
74,1352,1400,,False
98,1365,1400,,False
56,1406,1400,,False
93,1430,1400,,False
94,1430,1400,,False
