order_id,wait_time_seconds
1,34
2,27
3,129
4,125
5,257
6,19
7,129
8,10
9,163
10,98
11,116
12,63
13,323
14,81
15,167
16,11
17,96
18,22
19,169
20,156
21,29
22,76
23,120
24,188
25,152
26,125
27,142
28,131
29,95
30,285
31,118
32,124
33,18
34,8
35,7
36,160
37,279
38,262
39,190
40,184
41,242
42,207
43,343
44,143
45,219
46,293
47,291
48,183
49,282
50,158
51,227
52,159
53,167
54,165
55,289
56,84
57,380
58,284
59,180
60,203
61,329
62,150
63,220
64,364
65,390
66,274
67,404
68,321
69,292
70,237
71,190
72,386
73,277
74,495
75,233
76,288
77,317
78,385
79,488
80,344
82,690
83,229
84,307
85,295
86,536
87,435
88,523
89,310
90,674
91,334
92,379
93,402
94,452
95,391
96,467
97,359
98,448
99,303
100,446
