order_id,completed_seconds,next_train_time,waiting_time,on_time
1,221,500,279,True
6,242,500,258,True
12,296,500,204,True
10,313,500,187,True
5,346,1400,1054,True
17,352,1400,1048,True
15,383,1400,1017,True
11,393,1400,1007,True
24,410,1400,990,True
21,421,1400,979,True
20,425,1400,975,True
14,428,1400,972,True
18,442,1400,958,True
13,449,1400,951,True
9,449,1400,951,True
3,453,1400,947,True
4,453,1400,947,True
7,456,1400,944,True
23,465,1400,935,True
27,469,1400,931,True
36,520,1400,880,True
26,520,1400,880,True
19,525,1400,875,True
2,544,1400,856,True
8,544,1400,856,True
22,554,1400,846,True
30,561,1400,839,True
34,574,1400,826,True
35,574,1400,826,True
16,577,1400,823,True
32,581,1400,819,True
28,585,1400,815,True
29,591,1400,809,True
42,640,1400,760,True
39,651,1400,749,True
40,651,1400,749,True
25,664,1400,736,True
48,668,1400,732,True
45,671,1400,729,True
44,674,1400,726,True
52,677,1400,723,True
53,685,1400,715,True
50,715,1400,685,True
62,730,1400,670,True
51,733,1400,667,True
31,736,1400,664,True
59,751,1400,649,True
55,755,1400,645,True
54,758,1400,642,True
63,762,1400,638,True
73,766,1400,634,True
43,773,1400,627,True
41,790,1400,610,True
47,830,1400,570,True
58,834,1400,566,True
61,842,1400,558,True
37,845,1400,555,True
75,868,1400,532,True
60,879,1400,521,True
57,882,1400,518,True
33,885,1400,515,True
46,898,1400,502,True
49,898,1400,502,True
38,916,1400,484,True
76,925,1400,475,True
70,930,1400,470,True
71,938,1400,462,True
92,944,1400,456,True
97,944,1400,456,True
69,956,1400,444,True
83,973,1400,427,True
67,983,1400,417,True
68,988,1400,412,True
95,1020,1400,380,True
91,1027,1400,373,True
80,1027,1400,373,True
77,1047,1400,353,True
78,1119,1400,281,True
89,1124,1400,276,True
87,1127,1400,273,True
99,1149,1400,251,True
85,1165,1400,235,True
72,1183,1400,217,True
64,1187,1400,213,True
88,1191,1400,209,True
79,1194,1400,206,True
66,1211,1400,189,True
96,1239,1400,161,True
86,1256,1400,144,True
100,1329,1400,71,True
90,1350,1400,,False
