order_id,completed_seconds,next_train_time,waiting_time,on_time
5,261,500,239,True
2,312,1400,1088,True
3,357,1400,1043,True
10,379,1400,1021,True
9,396,1400,1004,True
12,396,1400,1004,True
14,399,1400,1001,True
16,413,1400,987,True
17,416,1400,984,True
1,419,1400,981,True
8,422,1400,978,True
26,453,1400,947,True
4,458,1400,942,True
6,486,1400,914,True
24,502,1400,898,True
13,519,1400,881,True
30,523,1400,877,True
7,532,1400,868,True
11,532,1400,868,True
36,542,1400,858,True
23,545,1400,855,True
15,579,1400,821,True
20,591,1400,809,True
21,591,1400,809,True
22,594,1400,806,True
38,599,1400,801,True
39,605,1400,795,True
19,681,1400,719,True
27,686,1400,714,True
42,689,1400,711,True
43,721,1400,679,True
48,746,1400,654,True
55,753,1400,647,True
25,760,1400,640,True
32,793,1400,607,True
34,793,1400,607,True
18,797,1400,603,True
56,804,1400,596,True
31,817,1400,583,True
33,817,1400,583,True
41,889,1400,511,True
50,896,1400,504,True
54,925,1400,475,True
47,929,1400,471,True
46,945,1400,455,True
64,961,1400,439,True
52,968,1400,432,True
68,972,1400,428,True
44,980,1400,420,True
37,1030,1400,370,True
57,1053,1400,347,True
61,1053,1400,347,True
65,1055,1400,345,True
28,1059,1400,341,True
29,1059,1400,341,True
60,1073,1400,327,True
58,1091,1400,309,True
80,1097,1400,303,True
77,1101,1400,299,True
71,1117,1400,283,True
67,1129,1400,271,True
70,1129,1400,271,True
84,1136,1400,264,True
75,1160,1400,240,True
89,1163,1400,237,True
76,1167,1400,233,True
69,1174,1400,226,True
35,1179,1400,221,True
87,1182,1400,218,True
73,1220,1400,180,True
74,1230,1400,170,True
40,1239,1400,161,True
49,1249,1400,151,True
72,1253,1400,147,True
51,1293,1400,107,True
53,1293,1400,107,True
78,1306,1400,94,True
103,1319,1400,81,True
83,1322,1400,78,True
100,1345,1400,,False
45,1364,1400,,False
81,1375,1400,,False
86,1396,1400,,False
59,1420,1400,,False
63,1420,1400,,False
93,1428,1400,,False
95,1439,2300,861,True
96,1439,2300,861,True
109,1447,2300,853,True
90,1460,1400,,False
91,1470,1400,,False
102,1475,2300,825,True
106,1475,2300,825,True
79,1482,1400,,False
97,1514,2300,786,True
88,1521,1400,,False
112,1546,2300,754,True
119,1569,2300,731,True
110,1582,2300,718,True
62,1595,1400,,False
66,1595,1400,,False
111,1598,2300,702,True
113,1598,2300,702,True
107,1614,2300,686,True
82,1618,2300,682,True
85,1618,2300,682,True
105,1645,2300,655,True
123,1656,2300,644,True
125,1656,2300,644,True
122,1679,2300,621,True
108,1683,2300,617,True
132,1692,2300,608,True
116,1702,2300,598,True
134,1717,2300,583,True
127,1730,2300,570,True
120,1747,2300,553,True
138,1754,2300,546,True
128,1769,2300,531,True
133,1782,2300,518,True
117,1810,2300,490,True
136,1824,2300,476,True
94,1828,2300,472,True
98,1828,2300,472,True
153,1864,2300,436,True
99,1867,2300,433,True
104,1867,2300,433,True
115,1870,2300,430,True
149,1921,2300,379,True
152,1921,2300,379,True
147,1943,2300,357,True
151,1943,2300,357,True
129,1947,2300,353,True
124,1955,2300,345,True
159,1962,2300,338,True
118,1965,2300,335,True
92,1971,2300,329,True
121,1981,2300,319,True
163,1989,2300,311,True
101,1992,2300,308,True
161,2017,2300,283,True
114,2042,2300,258,True
169,2077,2300,223,True
140,2080,2300,220,True
166,2084,2300,216,True
155,2124,2300,176,True
160,2124,2300,176,True
168,2136,2300,164,True
184,2163,2300,137,True
150,2166,2300,134,True
154,2166,2300,134,True
135,2169,2300,131,True
144,2180,2300,120,True
146,2180,2300,120,True
179,2191,2300,109,True
167,2199,2300,101,True
165,2219,2300,81,True
126,2222,2300,78,True
148,2231,2300,69,True
157,2237,2300,63,True
173,2265,2300,,False
156,2268,2300,,False
158,2272,2300,,False
141,2291,2300,,False
164,2295,2300,,False
130,2307,2300,,False
142,2310,2300,,False
131,2333,2300,,False
174,2348,2300,,False
175,2373,2300,,False
137,2395,2300,,False
139,2395,2300,,False
171,2401,2300,,False
145,2405,2300,,False
183,2410,2300,,False
185,2424,2300,,False
199,2429,3200,771,True
200,2429,3200,771,True
209,2436,3200,764,True
196,2456,3200,744,True
189,2466,2300,,False
162,2480,2300,,False
180,2506,2300,,False
181,2506,3200,694,True
176,2509,2300,,False
214,2522,3200,678,True
143,2560,2300,,False
217,2577,3200,623,True
191,2596,3200,604,True
197,2599,3200,601,True
198,2605,3200,595,True
178,2617,2300,,False
186,2626,3200,574,True
195,2629,3200,571,True
177,2633,2300,,False
224,2642,3200,558,True
228,2649,3200,551,True
229,2649,3200,551,True
193,2693,3200,507,True
210,2693,3200,507,True
204,2720,3200,480,True
182,2739,3200,461,True
201,2739,3200,461,True
203,2750,3200,450,True
207,2750,3200,450,True
208,2760,3200,440,True
211,2768,3200,432,True
218,2768,3200,432,True
223,2777,3200,423,True
213,2795,3200,405,True
234,2800,3200,400,True
222,2810,3200,390,True
225,2814,3200,386,True
215,2823,3200,377,True
231,2823,3200,377,True
232,2823,3200,377,True
216,2827,3200,373,True
244,2836,3200,364,True
187,2854,3200,346,True
238,2912,3200,288,True
250,2939,3200,261,True
172,2954,3200,246,True
192,2954,3200,246,True
194,2954,3200,246,True
237,2964,3200,236,True
236,2987,3200,213,True
243,2987,3200,213,True
190,3019,3200,181,True
202,3019,3200,181,True
205,3019,3200,181,True
256,3032,3200,168,True
206,3036,3200,164,True
251,3050,3200,150,True
249,3060,3200,140,True
264,3072,3200,128,True
241,3083,3200,117,True
245,3083,3200,117,True
255,3115,3200,85,True
262,3127,3200,73,True
276,3146,3200,,False
219,3163,3200,,False
233,3163,3200,,False
248,3170,3200,,False
260,3170,3200,,False
279,3173,3200,,False
212,3182,3200,,False
230,3182,3200,,False
221,3202,3200,,False
239,3202,3200,,False
246,3202,3200,,False
269,3206,4100,894,True
220,3223,3200,,False
253,3232,3200,,False
227,3238,3200,,False
261,3241,3200,,False
259,3249,3200,,False
263,3268,3200,,False
258,3297,3200,,False
226,3307,3200,,False
240,3307,3200,,False
254,3313,3200,,False
257,3313,3200,,False
283,3318,4100,782,True
289,3356,4100,744,True
290,3356,4100,744,True
268,3371,4100,729,True
297,3387,4100,713,True
300,3387,4100,713,True
272,3393,4100,707,True
252,3428,3200,,False
282,3432,4100,668,True
274,3436,4100,664,True
265,3448,3200,,False
235,3461,3200,,False
242,3461,3200,,False
247,3461,3200,,False
294,3471,4100,629,True
266,3476,4100,624,True
267,3476,4100,624,True
285,3480,4100,620,True
284,3505,4100,595,True
286,3505,4100,595,True
292,3548,4100,552,True
280,3560,4100,540,True
295,3560,4100,540,True
278,3563,4100,537,True
299,3570,4100,530,True
270,3576,4100,524,True
275,3579,4100,521,True
273,3591,4100,509,True
281,3612,4100,488,True
288,3612,4100,488,True
277,3693,4100,407,True
271,3768,4100,332,True
298,3843,4100,257,True
291,3885,4100,215,True
287,3919,4100,181,True
296,3919,4100,181,True
293,4063,4100,,False
