order_id,detour_ratio_percents
1,30.0
9,33.0
10,8.0
11,18.0
20,16.0
24,26.0
33,17.0
43,37.0
47,17.0
76,52.0
89,21.0
127,19.0
152,25.0
163,50.0
176,50.0
180,25.0
189,45.0
201,12.0
221,24.0
240,6.0
264,11.0
266,15.0
272,94.0
275,94.0
331,35.0
332,35.0
358,39.0
364,17.0
387,65.0
410,21.0
433,65.0
435,21.0
436,65.0
448,29.0
453,16.0
458,7.0
464,29.0
476,46.0
484,17.0
493,46.0
499,17.0
502,7.0
511,21.0
561,17.0
578,10.0
591,58.0
593,23.0
596,23.0
614,18.0
628,25.0
639,50.0
640,15.0
650,50.0
663,13.0
679,15.0
683,25.0
698,38.0
699,13.0
