order_id,wait_time_seconds
1,17
2,316
3,146
4,48
5,76
6,138
7,108
8,381
9,107
10,237
11,66
12,202
13,154
14,53
15,496
16,289
17,213
18,115
19,30
20,122
21,150
22,22
23,150
24,18
25,46
26,84
27,160
28,48
29,175
30,310
31,154
32,106
33,17
34,113
35,273
36,390
37,186
38,180
39,348
40,245
41,254
42,258
43,119
44,277
45,445
46,309
47,431
48,520
49,366
50,306
51,337
52,358
53,460
54,582
55,487
56,357
57,550
58,474
60,293
61,325
62,262
63,497
64,359
65,306
66,670
67,446
68,579
69,661
70,617
71,617
72,335
73,452
74,414
75,494
76,497
79,364
80,393
81,517
82,353
83,527
84,490
87,425
88,587
89,465
90,363
91,310
92,478
94,440
95,437
96,505
97,611
98,600
99,341
101,392
104,553
106,608
107,386
108,307
109,446
110,327
113,365
115,869
116,783
117,674
118,439
122,545
123,542
124,310
125,673
126,390
127,558
128,300
129,275
130,379
133,521
134,529
135,512
136,505
137,497
138,460
139,451
140,382
141,785
142,381
143,552
144,549
145,398
146,632
148,678
149,914
151,352
152,507
153,328
154,790
155,516
156,516
158,322
159,692
160,294
161,366
162,372
163,479
165,335
166,269
167,540
168,540
170,318
171,441
172,596
173,541
174,611
175,532
176,429
177,387
178,516
179,676
180,382
181,451
182,415
183,366
184,777
185,521
188,623
189,424
190,232
191,390
192,245
193,225
194,703
195,560
196,464
198,465
199,579
201,607
202,581
203,680
205,670
208,583
215,505
216,679
218,511
219,399
220,495
221,362
225,515
226,327
227,570
228,314
232,300
235,316
236,418
238,412
239,524
240,430
241,402
242,662
244,506
246,593
248,427
249,486
250,704
251,565
252,554
253,484
254,504
256,618
257,615
260,353
261,403
262,497
263,430
264,503
265,532
266,635
267,434
271,513
272,513
273,361
274,828
275,503
278,402
280,816
281,338
282,484
283,770
284,526
286,521
288,404
289,352
290,350
292,495
293,346
294,403
295,550
296,628
298,579
300,577
301,381
302,738
305,530
306,529
307,351
308,688
309,341
310,610
311,271
312,690
313,654
314,354
315,550
316,739
317,735
319,636
320,363
321,749
324,581
326,343
327,684
329,282
331,432
332,426
333,261
334,529
335,560
337,428
339,624
340,466
341,391
342,402
345,362
346,761
347,593
349,623
350,344
356,557
357,365
358,450
359,290
361,311
362,347
364,441
365,692
367,542
368,477
370,515
371,379
372,363
373,384
374,477
375,476
376,359
378,608
379,440
380,256
381,696
383,294
385,276
386,433
387,672
388,278
389,436
390,326
391,272
392,434
394,645
395,772
396,280
397,298
399,224
400,468
401,490
402,359
403,496
404,555
405,204
406,447
408,527
409,682
410,670
411,478
412,668
413,351
414,602
415,529
416,732
417,569
418,642
419,465
421,538
422,516
423,675
424,415
426,663
427,600
429,693
430,402
431,647
432,477
433,520
434,391
435,584
436,507
437,374
439,497
440,356
441,629
442,847
443,346
444,342
445,462
446,551
448,554
449,601
451,425
452,370
453,398
455,308
456,719
457,383
458,729
460,344
461,609
462,704
464,451
465,449
468,614
469,647
470,525
471,499
472,518
473,307
474,738
476,527
477,409
478,610
479,281
480,442
482,410
483,441
484,767
485,317
486,443
487,399
489,396
491,388
492,611
493,464
495,342
497,578
498,262
499,708
500,744
501,487
502,553
503,777
504,371
506,350
507,667
508,650
509,349
510,637
511,647
512,595
513,351
514,444
515,441
516,629
518,509
519,326
521,526
522,239
523,698
524,405
526,221
527,461
528,565
530,630
531,745
533,533
534,463
535,643
536,602
537,661
538,427
540,681
541,631
542,658
544,458
545,569
547,674
549,645
550,579
551,452
554,256
555,569
556,486
557,592
559,449
561,439
562,557
563,764
564,491
566,560
567,384
568,370
569,366
570,574
571,301
573,298
574,737
575,365
576,439
578,477
579,524
581,515
582,520
584,510
587,553
588,604
589,404
591,651
592,538
593,495
595,379
596,490
597,493
598,844
599,651
600,387
601,750
602,531
603,502
604,530
606,348
607,564
608,597
609,693
610,510
612,776
613,787
614,294
615,739
618,369
620,867
621,365
622,662
625,594
627,376
628,604
629,716
630,690
632,610
634,689
635,483
636,336
637,540
638,723
639,463
640,653
643,351
645,619
646,532
647,371
648,495
650,407
651,535
652,763
654,271
655,262
657,576
658,388
659,385
660,654
661,537
662,550
663,537
664,623
665,613
666,638
667,663
668,298
669,621
670,510
671,540
673,499
674,537
675,621
676,580
677,576
679,494
680,299
681,514
683,362
684,544
685,282
686,471
687,356
688,434
689,525
690,639
691,665
692,301
693,479
694,549
695,368
696,721
697,530
698,356
699,393
700,736
