person_id,waiting_time,vehicle_id,arrival,not_started,started_but_not_finished
p1,82.00,t11,283.00,False,False
p16,62.00,t7,297.00,False,False
p5,51.00,t8,304.00,False,False
p13,70.00,t17,338.00,False,False
p2,119.00,t20,359.00,False,False
p9,132.00,t28,372.00,False,False
p12,141.00,t4,386.00,False,False
p15,129.00,t4,387.00,False,False
p18,40.00,t2,401.00,False,False
p22,142.00,t26,407.00,False,False
p27,96.00,t19,414.00,False,False
p3,113.00,t13,435.00,False,False
p6,78.00,t13,436.00,False,False
p8,31.00,t24,459.00,False,False
p26,58.00,t27,475.00,False,False
p10,85.00,t30,492.00,False,False
p7,36.00,t25,501.00,False,False
p29,135.00,t29,520.00,False,False
p11,129.00,t10,546.00,False,False
p17,327.00,t10,547.00,False,False
p21,79.00,t9,571.00,False,False
p23,231.00,t3,577.00,False,False
p14,206.00,t14,587.00,False,False
p19,235.00,t14,588.00,False,False
p4,159.00,t22,595.00,False,False
p30,231.00,t23,604.00,False,False
p28,96.00,t5,626.00,False,False
p24,182.00,t5,627.00,False,False
p20,196.00,t16,637.00,False,False
p25,251.00,t15,643.00,False,False
p32,260.00,t21,651.00,False,False
p40,296.00,t17,660.00,False,False
p44,269.00,t17,661.00,False,False
p34,330.00,t12,670.00,False,False
p36,275.00,t11,679.00,False,False
p45,304.00,t19,693.00,False,False
p31,207.00,t18,706.00,False,False
p51,314.00,t24,721.00,False,False
p76,165.00,t24,722.00,False,False
p47,302.00,t26,729.00,False,False
p60,222.00,t26,730.00,False,False
p39,291.00,t8,737.00,False,False
p52,213.00,t8,738.00,False,False
p64,160.00,t8,738.00,False,False
p54,336.00,t29,766.00,False,False
p55,325.00,t29,767.00,False,False
p42,387.00,t28,789.00,False,False
p33,362.00,t1,816.00,False,False
p57,357.00,t25,826.00,False,False
p38,391.00,t20,859.00,False,False
p62,395.00,t9,875.00,False,False
p50,354.00,t27,883.00,False,False
p68,268.00,t27,884.00,False,False
p41,447.00,t4,899.00,False,False
p74,324.00,t16,923.00,False,False
p73,400.00,t23,959.00,False,False
p58,433.00,t14,966.00,False,False
p93,191.00,t14,967.00,False,False
p77,402.00,t11,975.00,False,False
